,rowlabels,collabels,s0,s1,c0,c1,a0,a1,num0,num1,numTot,date
393,A10_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,7.275101951310894,8.79050600291453,0.41035250825065617,2.3020927282433514,7.588009074495133,15.90338675140876,136.5,131.4848484848485,1091.06,2022-04-06
394,A11_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,7.0017508231665,8.57618021503304,0.23677703686502322,2.2473656215988727,0.25732734226676257,25.694093028781992,126.71428571428571,123.24242424242425,785.8,2022-04-06
395,A12_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.755807858442127,13.320447166508231,0.081466133437841,1.7125944864488178,0.9436173927268499,12.094394526562425,123.14285714285714,98.78787878787878,481.24,2022-04-06
396,B01_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,8.005521500008824,8.131871739314027,0.12995703898580727,1.796943670933889,6.513655312342621,12.029250587373468,140.42857142857142,133.93939393939394,1078.92,2022-04-06
397,B02_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,8.957356503508937,8.687208794690997,-0.28525063462481337,1.8757494887005481,-10.702270887845032,12.995570150041956,135.5,106.45454545454545,776.98,2022-04-06
398,B03_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.761416671828595,11.118570812406345,0.22182310031021457,1.5648263243489016,4.530015937212866,10.113960499860113,121.57142857142857,118.06060606060606,486.62,2022-04-06
399,B04_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,8.985514252432111,7.968710777022319,-0.24376480359706362,2.2550290299305304,-10.388226590571321,20.00681139786353,176.71428571428572,162.4848484848485,1092.94,2022-04-06
400,B05_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,8.886264564316514,8.669937969886856,0.414132759767572,2.119255579075974,2.0919903440268257,11.778127345537087,151.28571428571428,133.6969696969697,711.36,2022-04-06
401,B06_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.631510634944261,11.800367760920667,0.029541566704777436,1.2913289975703433,-2.820813549274561,9.600248573815733,81.5,73.21212121212122,364.98,2022-04-06
402,B07_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,8.093831135489955,8.415487655382428,0.1438302407191675,2.140521693785387,4.659615143882263,16.05550541719147,146.0,131.96969696969697,953.7,2022-04-06
