,gene,log2fold_diff_mean,exp,pvalue
305,ADCY8,0.08775572325418353,growth,0.3373572676855979
306,ADCY9,0.0424637396092911,growth,0.8304911196905945
307,ADCYAP1,0.09409123103518603,growth,0.2889982529846
308,ADCYAP1R1,-0.015324014210067599,growth,0.46690408768374303
309,ADD1,0.17157516240945692,growth,0.019070795344537466
310,ADD2,-0.0024386574945694677,growth,0.5992477063409017
311,ADD3,0.0024812478771226005,growth,0.6574054754195793
312,ADGB,-0.06574946308444232,growth,0.13525905171473587
313,ADGRA1,-0.009410080721663367,growth,0.5241519377267541
314,ADGRA2,-0.026804636936660232,growth,0.360198130133385
315,ADGRA3,0.13445412523827024,growth,0.08327755848658847
316,ADGRB1,0.0768795254004843,growth,0.43822924994737483
317,ADGRB2,-0.05533079822599917,growth,0.17992116204968178
318,ADGRB3,-0.003389839785874168,growth,0.5902883316267695
319,ADGRD1,0.035388231480925736,growth,0.9236660516494918
320,ADGRD2,-0.1022630385126499,growth,0.050531549632925644
321,ADGRE1,0.03390140846167036,growth,0.9435099623989197
322,ADGRE2,0.12671764550615594,growth,0.10892901655047021
323,ADGRE3,0.09170545002171084,growth,0.30528585230386596
324,ADGRE5,-0.07028596851269973,growth,0.11819066121868231
325,ADGRF1,-0.008725859073995432,growth,0.5327936909430118
326,ADGRF2,0.06897834698380417,growth,0.5149433433301356
327,ADGRF3,0.052511059070237766,growth,0.7055709440747632
328,ADGRF4,0.06354310763694214,growth,0.5766109805609133
329,ADGRF5,0.12189459413397001,growth,0.1266738465901768
330,ADGRG1,-0.0870465000092458,growth,0.07370373337399873
331,ADGRG2,0.0634816699876566,growth,0.5775476190557158
332,ADGRG3,-0.013886188829356,growth,0.47762111700067367
333,ADGRG4,0.04566102462746496,growth,0.7914687584667286
334,ADGRG5,-0.06459775223211627,growth,0.13801572260421063
335,ADGRG6,0.0294089431726839,growth,0.9992836755909822
336,ADGRG7,0.08331657554970423,growth,0.37575905732582227
337,ADGRL1,0.05726603641194453,growth,0.6492460327311431
338,ADGRL2,-0.021810378056188896,growth,0.4058877251241957
339,ADGRL3,-0.04338106058641391,growth,0.24549567001448536
340,ADGRL4,0.008939060033918164,growth,0.7375578288039559
341,ADGRV1,-0.007132096394801599,growth,0.549206823139382
342,ADH1A,0.06338301061238084,growth,0.5777269794977704
343,ADH1B,0.05498063696028807,growth,0.6714523323148686
344,ADH1C,0.06424018111722662,growth,0.5678825591353855
345,ADH4,0.082252460259501,growth,0.3855841425159596
346,ADH5,0.06692284811549003,growth,0.5376645997626632
347,ADH6,-0.09554042413870369,growth,0.06111158099574097
348,ADH7,-0.06303763774021591,growth,0.14587386695526275
349,ADHFE1,0.06184496575204523,growth,0.5942610779727743
350,ADI1,-0.06974706307676866,growth,0.12146083153191549
351,ADIG,-0.030198082657173764,growth,0.3341674500731117
352,ADIPOQ,-0.026557714427500965,growth,0.3646550330789333
353,ADIPOR1,-0.1744106704147538,growth,0.003937768144953941
354,ADIPOR2,0.005225956823799523,growth,0.6925584703138793
355,ADIRF,0.07311149126617429,growth,0.47309746398812025
356,ADK,-0.019632182870534465,growth,0.42638854592168995
357,ADM,0.019322332992908798,growth,0.8663953686141282
358,ADM2,0.030998370912062135,growth,0.9834300002880844
359,ADM5,0.019639679924628332,growth,0.8727048531136599
360,ADNP,0.106069368822244,growth,0.2063982999816996
361,ADNP2,0.048746048241227365,growth,0.7526855121117122
362,ADO,0.03267647599529373,growth,0.9636103799560528
363,ADORA1,0.014870849981815737,growth,0.808215252351446
364,ADORA2A,0.029995041191404666,growth,0.993354579027877
365,ADORA2B,-0.033628082895765,growth,0.30889297928722104
366,ADORA3,0.06414771473369245,growth,0.5706747911959285
367,ADPGK,0.012427969697849301,growth,0.7815708991860718
368,ADPRH,0.03209720298571233,growth,0.9671541575308382
369,ADPRHL1,-0.014285192423021472,growth,0.4789421270603557
370,ADPRHL2,-0.029912414741671032,growth,0.33926698030129737
371,ADPRM,0.0102245747262273,growth,0.7531200190980978
372,ADRA1A,0.0015109878040697698,growth,0.6457446176442969
373,ADRA1B,0.034153385772859396,growth,0.9435071447105017
374,ADRA1D,0.031862134373810864,growth,0.9702801399264068
375,ADRA2A,-0.04645550998595157,growth,0.22396872482450053
376,ADRA2B,0.026753159496318932,growth,0.9625944575388686
377,ADRA2C,-0.08195113350364897,growth,0.08450830535522573
378,ADRB1,0.014572361804338898,growth,0.8081539433379377
379,ADRB2,-0.020307231975982134,growth,0.42046197556199405
380,ADRB3,0.1045247516909777,growth,0.21893011496314488
381,ADRM1,-0.0006943764648553331,growth,0.6218794768757413
382,ADSL,-0.8658766057527831,growth,1.554586713365156e-06
383,ADSS,-0.8846393693819593,growth,9.716166958532225e-08
384,ADSSL1,-0.013234957639934632,growth,0.48812672252458666
385,ADTRP,0.0637243713226414,growth,0.5737027374668855
386,AEBP1,0.039328493094605434,growth,0.8732775239941958
387,AEBP2,-0.3077916226574695,growth,1.331114873318915e-05
