,cell,frame,x,y,celltype,position,aqctime,sampleset
185,24.0,5.0,232.5957595759576,511.8186818681868,sgLAMTOR1,0,30sec,1
186,26.0,5.0,666.6398035152353,560.7375853864456,sgLAMTOR1,0,30sec,1
187,19.0,5.0,169.38062738312667,499.0163093979301,sgLAMTOR1,0,30sec,1
188,9.0,5.0,333.4003451106532,242.0699938014106,sgLAMTOR1,0,30sec,1
189,14.0,5.0,643.0049102471222,328.93825967962647,sgLAMTOR1,0,30sec,1
190,11.0,5.0,102.32839797741242,312.6684228055833,sgLAMTOR1,0,30sec,1
191,12.0,5.0,171.96008663366337,309.97060643564356,sgLAMTOR1,0,30sec,1
192,5.0,5.0,492.6227916909338,160.31353135313532,sgLAMTOR1,0,30sec,1
193,16.0,5.0,518.3562011023437,401.34023554639725,sgLAMTOR1,0,30sec,1
194,22.0,5.0,113.5124941065535,532.7738488134528,sgLAMTOR1,0,30sec,1
195,17.0,5.0,22.673419415674285,431.07785432921173,sgLAMTOR1,0,30sec,1
196,30.0,5.0,525.1332825590251,672.5691799949226,sgLAMTOR1,0,30sec,1
197,31.0,5.0,70.93170855547093,664.1201398246334,sgLAMTOR1,0,30sec,1
198,3.0,5.0,237.06596011713847,126.76676118316057,sgLAMTOR1,0,30sec,1
199,25.0,5.0,170.8476213475006,519.3560331642921,sgLAMTOR1,0,30sec,1
200,7.0,5.0,inf,inf,sgLAMTOR1,0,30sec,1
201,23.0,5.0,inf,inf,sgLAMTOR1,0,30sec,1
202,32.0,5.0,inf,inf,sgLAMTOR1,0,30sec,1
203,33.0,5.0,inf,inf,sgLAMTOR1,0,30sec,1
204,35.0,5.0,601.9618628529519,1.5218188485515216,sgLAMTOR1,0,30sec,1
205,36.0,5.0,0.7223363845818543,204.60800797060838,sgLAMTOR1,0,30sec,1
206,13.0,6.0,108.5420306736556,325.8267003170905,sgLAMTOR1,0,30sec,1
207,8.0,6.0,176.72186432617062,218.03219623272372,sgLAMTOR1,0,30sec,1
208,21.0,6.0,619.7129236733198,495.75147990989575,sgLAMTOR1,0,30sec,1
209,29.0,6.0,411.7111711171117,568.6168616861686,sgLAMTOR1,0,30sec,1
210,0.0,6.0,286.0980834925598,2.3160210757917894,sgLAMTOR1,0,30sec,1
211,15.0,6.0,313.42913052367186,376.9473407517743,sgLAMTOR1,0,30sec,1
212,34.0,6.0,669.5819581958195,647.3505683901724,sgLAMTOR1,0,30sec,1
213,24.0,6.0,231.05897546276364,512.7397522360932,sgLAMTOR1,0,30sec,1
214,31.0,6.0,70.34320012312112,662.2685066434104,sgLAMTOR1,0,30sec,1
215,4.0,6.0,28.97233119538369,132.89744068746498,sgLAMTOR1,0,30sec,1
216,20.0,6.0,76.97879957487274,460.2254293225933,sgLAMTOR1,0,30sec,1
217,26.0,6.0,664.3509654832886,561.0050507813212,sgLAMTOR1,0,30sec,1
218,6.0,6.0,598.3625285605483,146.63366336633663,sgLAMTOR1,0,30sec,1
219,28.0,6.0,294.47295749983164,570.8789654475652,sgLAMTOR1,0,30sec,1
220,1.0,6.0,317.80310106482347,27.353301367872636,sgLAMTOR1,0,30sec,1
221,18.0,6.0,336.44507307873647,459.39179632248937,sgLAMTOR1,0,30sec,1
222,16.0,6.0,515.2748608194153,400.41670833750044,sgLAMTOR1,0,30sec,1
223,11.0,6.0,104.55869116323397,310.2733802792044,sgLAMTOR1,0,30sec,1
224,14.0,6.0,643.7501235153455,325.28606154028574,sgLAMTOR1,0,30sec,1
225,9.0,6.0,334.5960683024824,236.7755616141324,sgLAMTOR1,0,30sec,1
226,27.0,6.0,472.9828155229316,564.2274572284815,sgLAMTOR1,0,30sec,1
227,22.0,6.0,109.11834040546911,537.2560113154173,sgLAMTOR1,0,30sec,1
228,12.0,6.0,173.77093264882043,316.50898423175653,sgLAMTOR1,0,30sec,1
229,25.0,6.0,163.98749045210198,517.9990488131782,sgLAMTOR1,0,30sec,1
230,10.0,6.0,288.17138351003246,259.6804813224685,sgLAMTOR1,0,30sec,1
231,3.0,6.0,229.43607404218682,125.88606686755631,sgLAMTOR1,0,30sec,1
232,2.0,6.0,183.39933993399342,87.12871287128712,sgLAMTOR1,0,30sec,1
233,17.0,6.0,24.788112614078308,422.98145307488494,sgLAMTOR1,0,30sec,1
234,5.0,6.0,488.7184138261154,152.02932506991158,sgLAMTOR1,0,30sec,1
235,36.0,6.0,1.2673267326732673,216.86248624862486,sgLAMTOR1,0,30sec,1
236,30.0,6.0,510.6786540723038,668.1195705777474,sgLAMTOR1,0,30sec,1
237,19.0,6.0,182.79907198640657,484.4753782308924,sgLAMTOR1,0,30sec,1
238,7.0,6.0,inf,inf,sgLAMTOR1,0,30sec,1
239,23.0,6.0,inf,inf,sgLAMTOR1,0,30sec,1
240,32.0,6.0,inf,inf,sgLAMTOR1,0,30sec,1
241,33.0,6.0,inf,inf,sgLAMTOR1,0,30sec,1
242,35.0,6.0,inf,inf,sgLAMTOR1,0,30sec,1
243,37.0,6.0,672.3315860997865,196.77732479130268,sgLAMTOR1,0,30sec,1
244,38.0,6.0,600.193080532543,671.8259581060147,sgLAMTOR1,0,30sec,1
245,21.0,7.0,620.2321355731078,495.99386904982634,sgLAMTOR1,0,30sec,1
246,0.0,7.0,286.4603441476223,2.810469726217905,sgLAMTOR1,0,30sec,1
247,12.0,7.0,173.36558083289245,317.154158163908,sgLAMTOR1,0,30sec,1
248,4.0,7.0,28.72877649210704,133.73493975903614,sgLAMTOR1,0,30sec,1
249,15.0,7.0,314.50452737581446,376.6212518687766,sgLAMTOR1,0,30sec,1
250,38.0,7.0,600.7936507936508,670.7449316360207,sgLAMTOR1,0,30sec,1
251,6.0,7.0,597.0636569829823,146.68676744217632,sgLAMTOR1,0,30sec,1
252,24.0,7.0,230.64453504173946,511.43709959231217,sgLAMTOR1,0,30sec,1
253,30.0,7.0,510.4651162790698,669.5947501726916,sgLAMTOR1,0,30sec,1
254,10.0,7.0,288.7255537780852,261.2218427082883,sgLAMTOR1,0,30sec,1
255,37.0,7.0,671.7440974866718,194.88741773585642,sgLAMTOR1,0,30sec,1
256,25.0,7.0,162.86866781916288,516.293851607383,sgLAMTOR1,0,30sec,1
257,11.0,7.0,106.36492220650636,308.72955427410875,sgLAMTOR1,0,30sec,1
258,29.0,7.0,409.3409340934093,569.0869086908691,sgLAMTOR1,0,30sec,1
259,34.0,7.0,672.0701481912897,647.4082702387886,sgLAMTOR1,0,30sec,1
260,8.0,7.0,179.26665547910721,217.61201543883203,sgLAMTOR1,0,30sec,1
261,2.0,7.0,181.44939493949394,84.83498349834984,sgLAMTOR1,0,30sec,1
262,5.0,7.0,490.14615747289014,154.988213107025,sgLAMTOR1,0,30sec,1
263,27.0,7.0,475.5519075223585,566.3434737256109,sgLAMTOR1,0,30sec,1
264,20.0,7.0,73.69839024718797,459.562201118071,sgLAMTOR1,0,30sec,1
265,36.0,7.0,2.818928509392293,219.89131243951465,sgLAMTOR1,0,30sec,1
266,14.0,7.0,642.2839874348881,322.10028231738835,sgLAMTOR1,0,30sec,1
267,13.0,7.0,109.12091209120912,322.3102310231023,sgLAMTOR1,0,30sec,1
268,9.0,7.0,330.93266622035867,235.9935637691883,sgLAMTOR1,0,30sec,1
269,16.0,7.0,511.54010798569396,399.41726390212244,sgLAMTOR1,0,30sec,1
270,28.0,7.0,298.5737443002251,571.7874260924326,sgLAMTOR1,0,30sec,1
271,1.0,7.0,321.71106613423774,25.19920500337327,sgLAMTOR1,0,30sec,1
272,17.0,7.0,26.146121721176854,418.4317957862137,sgLAMTOR1,0,30sec,1
273,26.0,7.0,658.7146083029355,561.9940941462568,sgLAMTOR1,0,30sec,1
274,18.0,7.0,345.49036993251565,456.15733215112556,sgLAMTOR1,0,30sec,1
275,22.0,7.0,111.13443141549178,547.5171480281668,sgLAMTOR1,0,30sec,1
276,19.0,7.0,193.38646059727924,479.58142155678985,sgLAMTOR1,0,30sec,1
277,31.0,7.0,76.84915550378567,672.5490196078431,sgLAMTOR1,0,30sec,1
278,3.0,7.0,217.9476422218493,130.1001286569335,sgLAMTOR1,0,30sec,1
279,7.0,7.0,inf,inf,sgLAMTOR1,0,30sec,1
280,23.0,7.0,inf,inf,sgLAMTOR1,0,30sec,1
281,32.0,7.0,inf,inf,sgLAMTOR1,0,30sec,1
282,33.0,7.0,inf,inf,sgLAMTOR1,0,30sec,1
283,35.0,7.0,inf,inf,sgLAMTOR1,0,30sec,1
284,15.0,8.0,314.1415474880821,376.8214154748808,sgLAMTOR1,0,30sec,1
285,9.0,8.0,330.48360186572165,236.72256524545443,sgLAMTOR1,0,30sec,1
286,13.0,8.0,108.82371255993525,323.1334454200137,sgLAMTOR1,0,30sec,1
287,10.0,8.0,287.8526562333653,261.6233973627777,sgLAMTOR1,0,30sec,1
288,2.0,8.0,182.05148514851484,85.65808580858085,sgLAMTOR1,0,30sec,1
289,34.0,8.0,673.1312306488381,647.0552209860161,sgLAMTOR1,0,30sec,1
290,8.0,8.0,177.9160773220179,217.55146943265754,sgLAMTOR1,0,30sec,1
291,38.0,8.0,599.2900452835981,670.3891319364494,sgLAMTOR1,0,30sec,1
292,1.0,8.0,320.24831054534025,24.497878359264497,sgLAMTOR1,0,30sec,1
293,18.0,8.0,347.22191320255627,456.58273692537796,sgLAMTOR1,0,30sec,1
294,11.0,8.0,104.60444102662693,309.3594796372841,sgLAMTOR1,0,30sec,1
295,29.0,8.0,410.3135313531353,571.1736798679868,sgLAMTOR1,0,30sec,1
296,22.0,8.0,112.24658180103724,549.6110325318247,sgLAMTOR1,0,30sec,1
297,0.0,8.0,287.46666666666664,5.032343234323432,sgLAMTOR1,0,30sec,1
298,4.0,8.0,26.69192845210447,135.3583506498798,sgLAMTOR1,0,30sec,1
299,37.0,8.0,673.8781340820649,196.53219053248608,sgLAMTOR1,0,30sec,1
300,28.0,8.0,300.90143342692477,573.1491059553716,sgLAMTOR1,0,30sec,1
301,25.0,8.0,165.34150877016634,514.3656497629458,sgLAMTOR1,0,30sec,1
302,21.0,8.0,622.9788832541791,493.98159328127934,sgLAMTOR1,0,30sec,1
303,16.0,8.0,508.0230146908496,398.6477408802827,sgLAMTOR1,0,30sec,1
304,20.0,8.0,70.32531824611033,458.18818616555535,sgLAMTOR1,0,30sec,1
305,27.0,8.0,478.71939736346513,564.4571236784695,sgLAMTOR1,0,30sec,1
306,36.0,8.0,3.243982934878854,216.21186508894792,sgLAMTOR1,0,30sec,1
307,14.0,8.0,641.3297915157369,326.2754568139741,sgLAMTOR1,0,30sec,1
308,30.0,8.0,510.88123737746906,664.4648046894241,sgLAMTOR1,0,30sec,1
309,3.0,8.0,211.1963309006957,132.20843211081672,sgLAMTOR1,0,30sec,1
310,24.0,8.0,231.1623822932752,504.2056499227905,sgLAMTOR1,0,30sec,1
311,12.0,8.0,169.3909390939094,309.95199519951996,sgLAMTOR1,0,30sec,1
312,17.0,8.0,22.495582891622497,425.8959229256259,sgLAMTOR1,0,30sec,1
313,5.0,8.0,495.7937630497744,161.4097123998114,sgLAMTOR1,0,30sec,1
314,6.0,8.0,590.6265895406746,139.50104687888143,sgLAMTOR1,0,30sec,1
315,19.0,8.0,204.55482012289627,473.33661542949875,sgLAMTOR1,0,30sec,1
316,26.0,8.0,645.5851739020056,559.1977659304392,sgLAMTOR1,0,30sec,1
317,7.0,8.0,inf,inf,sgLAMTOR1,0,30sec,1
318,23.0,8.0,inf,inf,sgLAMTOR1,0,30sec,1
319,31.0,8.0,inf,inf,sgLAMTOR1,0,30sec,1
320,32.0,8.0,inf,inf,sgLAMTOR1,0,30sec,1
